,text,labels,predictions
773,@alison barker  so you could say that you also assume the statistically small number of drug use its okey too... even drug use has many negative effects... No man,Non_hope_speech,Non_hope_speech
774,there is but it isn't inherently to one race. cop's should be held account for accidental deaths or murders/ abuse of force when authorized. the fact you labeled white folks lmfaoo yea you'r not prejudice though right?,Non_hope_speech,Non_hope_speech
776,Juan Williams is right.nYou can get upset with the Democratic Party for pandering to black people,Non_hope_speech,Non_hope_speech
777,Black Lives Matter.  All lives matter.  God created us all.,Hope_speech,Hope_speech
778,Thank you Debbie for starting GoldieBlox,Non_hope_speech,Non_hope_speech
779,the fact that you guys find this funny is saddening.,Non_hope_speech,Non_hope_speech
780,Howard Trigg she is part of our community.,Non_hope_speech,Non_hope_speech
781,PREACH! I LOVE GOD AND I LOVE GAYS! AND EVERYONE ELSE IN THE LGBT COMMUNITY!,Hope_speech,Hope_speech
782,Third world people,Non_hope_speech,Non_hope_speech
783,@Alex S God is our leader so we do as he says in order to live a great life but however we are not perfect God only tells us to do good so there is no point making bad examples because that's just dumb now,Non_hope_speech,Non_hope_speech
784,Linda Godinez nI never claimed that the disparity does not exist. What I was inferring,Non_hope_speech,Non_hope_speech
785,Ever read There is No Unmarked Woman?,Non_hope_speech,Non_hope_speech
786,Sunshine littlephilly as a bi person,Non_hope_speech,Non_hope_speech
787,Ashton Zautke so oppressed,Non_hope_speech,Non_hope_speech
788,You nailed it,Non_hope_speech,Non_hope_speech
789,Mymo_on  straight.....,Non_hope_speech,Non_hope_speech
790,Four years ago during Obama's reign...He was hated by so many ...,Non_hope_speech,Non_hope_speech
792,+The Amazing Atheist knows whats up. Props for speaking the truth and not giving into all the  sensitivity these days. Seems like people cant handle the truth anymore.,Non_hope_speech,Non_hope_speech
793,Is it not disgraceful when your government is killing thousands with incompetence at best and food poverty etc !!!,Non_hope_speech,Non_hope_speech
794,@Jon Coen when her music isn't always played on the radio and so forth,Non_hope_speech,Non_hope_speech
795,I respectfully disagree. Roman conquests,Non_hope_speech,Non_hope_speech
796,@Miguel Baham it says in the Bible and my mom told me,Non_hope_speech,Non_hope_speech
797,ALL LIVES MATTER NO MATTER WHAT!!!! NO MATTER COLOR WE ARE ALL THE HUMAN RACE PEOPLE!!! GROW UP AS A HUMAN RACE OPEN YOUR MINDS STOP BEING SO IGNORANT!! THIS WORLD MAKES ME SICK THE WAY PEOPLE ACT NOW. WE ALL MATTER !!!!! #ALLLIVESMATTER #HUMANRACEMATTERS #NOSEPERATIONS,Hope_speech,Hope_speech
798,we should have never taken blacks out of Africa hundreds of years ago. We would never have had this problem,Non_hope_speech,Non_hope_speech
799,I already imagined that to be the case.nI guess the organizers didn't feel like starting a riot with those idiots,Non_hope_speech,Non_hope_speech
800,And is this a peaceful protest????????,Non_hope_speech,Non_hope_speech
801,Was I the only one who thought this was about the tv show?,Non_hope_speech,Non_hope_speech
802,Juan needs to wake up. We are a country as a whole,Non_hope_speech,Non_hope_speech
803,hahaha a dude saved you life.....oh how sick is humaity....???,Non_hope_speech,Non_hope_speech
804,She is allowed to have a different opinion. If she is being respectful of others theres no harm,Non_hope_speech,Non_hope_speech
805,I would include animals,Non_hope_speech,Non_hope_speech
806,I am just a high school student dreaming to be a Chemical engineer in the future. And this helps me a lot.,Hope_speech,Hope_speech
807,Because people shown their true selves.  Ignorant sheeple.,Non_hope_speech,Non_hope_speech
808,I can throw a bone to the more benign personalities among the BLM movement,Non_hope_speech,Non_hope_speech
809,Lol but this is the same sheriff that cried about racism after being fired.,Non_hope_speech,Non_hope_speech
810,In reference to the Eurovisiesongfestival....She gave up singing....,Non_hope_speech,Non_hope_speech
811,According to statistical facts,Non_hope_speech,Non_hope_speech
812,This slave trader tortured people to death!!!,Non_hope_speech,Non_hope_speech
813,This is all so sick. God is about love and he calls Christians to love everyone despite their sins,Hope_speech,Hope_speech
814,You don't get it do you. Black Lives Matter does not mean white lives don't. It just means Black lives are being treated unfairly by the police and this needs to stop. If there's a burning house you would try to save it and not say no but All Houses Matter... Your house isn't burning... Black people needs the BLM movement to get equality. Stop thinking about just yourself and imagine if you're black. You can get killed by just going for a jog,Non_hope_speech,Non_hope_speech
815,Deadpool is pansexual and this comment is giving me Deadpool vibes,Non_hope_speech,Non_hope_speech
816,I am a Catholic and the thought of conversion therapy on anybody disgusts me. I know that the Jesus I serve is NOT the same one that this person unfortunately had to experience. God is love and the way he was treated was NOT love so NOT God. I like what that little boy said. God is love and I chose to love. --Paige Kohlman nnnAmen,Hope_speech,Hope_speech
817,@BluPanda Maybe it's just her REAL opinion and you don't seem to accept it?,Non_hope_speech,Non_hope_speech
818,I Don't Agree With Homosexuality. nnThe Haircut,Non_hope_speech,Non_hope_speech
819,I am also Christian,Non_hope_speech,Non_hope_speech
820,@Molly Rebekah since you're all about your new testament what did Jesus say about homosexuality?,Non_hope_speech,Non_hope_speech
821,Because all life matter include white and cops  these are two thing BLM hate,Non_hope_speech,Non_hope_speech
823,Wow that's a new one.,Non_hope_speech,Non_hope_speech
824,I’m really confused why blm is a thing in America considering if you look at the stats more white people get killed by blacks then blacks by whites. Why are people not talking about that ?,Non_hope_speech,Non_hope_speech
825,@_ JDP2104 _ The word of God proves JESUS CHRIST is LORD,Non_hope_speech,Non_hope_speech
826,Butt of the day!!,Non_hope_speech,Non_hope_speech
827,@t0bias busterud Yes exactly.,Non_hope_speech,Non_hope_speech
828,the black lives matter movement isnt made to say only black lives matter. #blacklivesmatter is to express the importance of black lives that aren't acknowledged. saying all lives matter is belittling the focus of black lives matter. of course every life matters,Non_hope_speech,Non_hope_speech
829,Much love and respect for Madonna!!!,Non_hope_speech,Non_hope_speech
830,Realise that some people in that airport who died were Europeans / Americans,Non_hope_speech,Non_hope_speech
831,_ Legion _ this channel is just going to shit. No amount of femenism can save it,Non_hope_speech,Non_hope_speech
832,No they aren't. I have literally never met any man angry about a woman doing anything.,Non_hope_speech,Non_hope_speech
833,Zeus is better than Jesus,Non_hope_speech,Non_hope_speech
834,black lives matter this is what the media dosen't show you,Non_hope_speech,Non_hope_speech
835,I think that being a woman has less to do with being interested and capable of being anything traditionally where men excel at. I think personality type differences are a bigger factor in determining that. Institutionalized and gender barriers aside,Hope_speech,Hope_speech
836,buy a dictionary and look up All then look up racism,Non_hope_speech,Non_hope_speech
837,who remembers that one episode of the boondocks where Martin Luthor King jr. comes back to life and see's what the black community has become and ends up hating blacks,Non_hope_speech,Non_hope_speech
838,The irony is these statues represent life back then and how we have moved on.....problems with racism will still exist with or without statues....try addressing the real problems rather than going for harmless lumps of copper and stone,Non_hope_speech,Non_hope_speech
839,If someone yelled out only white lives matter,Non_hope_speech,Non_hope_speech
840,They really mean to say ONLY Black Lives Matter,Non_hope_speech,Non_hope_speech
841,@CLIP IT! woah woah woahhhhh chill. I'm bisexual and I'm very much NOT a piece of crap,Non_hope_speech,Non_hope_speech
842,I agree with Black Billy Joel too!nnSERIOUSLY,Non_hope_speech,Non_hope_speech
843,She's the queen and looks it to love u,Non_hope_speech,Non_hope_speech
845,She definitely matters. She and other immigrants are what make America great,Non_hope_speech,Non_hope_speech
846,So where did the woman say she was applying to a job? The only reason someone would question your capability at a job interview based on your looks would be when you are expected to wear office clothes and you go in a shirt,Non_hope_speech,Non_hope_speech
847,Oh my God yasss!! I'm muslim,Non_hope_speech,Non_hope_speech
848,@*****nYou can virtue signal all you want but you know that isn't what I meant. I was talking about open and outright rejection of something,Non_hope_speech,Non_hope_speech
849,why is everyone so dumb,Non_hope_speech,Non_hope_speech
850,@John Karn do what u want. but dont act like idiots just cos one black guy got killed i mean if he was white nobody would care.,Non_hope_speech,Non_hope_speech
851,@Srbin Srbin I guess people across the world should go somewhere else because they don't like being mistreated 🤔. You're obviously the Dummy and will see who will go where.,Non_hope_speech,Non_hope_speech
852,Big Lies Matter... Why didn't the protestors show any mercy for those black officers who lost their lives in the streets during this madness? Because black lives mater only when they can use it to achieve their political goals.,Non_hope_speech,Non_hope_speech
853,I have said over and over that it is o.k.to love both genders. It's having a sexual relationship with the same gender that is a sin. You don't go to hell for loving the same gender,Non_hope_speech,Non_hope_speech
854,Not trying to personally attack you,Non_hope_speech,Non_hope_speech
855,Did your dentist beat you,Non_hope_speech,Non_hope_speech
856,another push to divide everyone just like the pushing of anti-Semitism in the UK's political arena. Voting is pointless as it's likely leaders are selected not elected. All governments are puppets of the controllers who then control you via television to program your minds. The TV is their remote control of YOU!!,Non_hope_speech,Non_hope_speech
857,FOX NEWS Political Annalist Hack Juan Williams!,Non_hope_speech,Non_hope_speech
858,@Troy White By the way you forget that it was the republicans who abolished slavery. Under Trump's presidency the black community has benefited a great deal,Non_hope_speech,Non_hope_speech
859,if all lives matter then blm shouldn’t effect you,Non_hope_speech,Non_hope_speech
860,Dude has a serious ped0 vibe.,Non_hope_speech,Non_hope_speech
861,Thank u! I’ve read so many bullshit comments on this video,Non_hope_speech,Non_hope_speech
862,Hailstorm if that is the only thing you’d like to take from it then you’re more than welcome to. It’s unfortunate that you’d draw such a defined line in the sand but that’s your prerogative to do so. I’d like to know is violence the only thing you see from the movement? Would you agree that there are some BLM protest that are peaceful from start to finish?,Non_hope_speech,Non_hope_speech
863,i would like this video a thousand times if i could,Non_hope_speech,Non_hope_speech
865,Does anyone else find it weird that the brain named itself ?,Non_hope_speech,Non_hope_speech
866,@HooverDude 60 What kind of argument is that for anything. WTF? Seriously. Be honest. I am lost on the agreesion. Why the attack on the subject. What is so threatening. The statue lords up a wrong doer to put it politely. Bad deeds are not discounted by other bad deeds because they are in say your percieved opinion,Non_hope_speech,Non_hope_speech
868,sad lxlita no sorry bby there are like 72,Non_hope_speech,Non_hope_speech
869,They aren't following social distancing rules.,Non_hope_speech,Non_hope_speech
870,This looks pretty scary now at 2020,Non_hope_speech,Non_hope_speech
871,@Five gold star England paid over 40% of its nations money to buy the freedom of every single slave in the Empire. No one was left behind. Even the Queen hated it,Non_hope_speech,Non_hope_speech
872,I understand why this would be,Non_hope_speech,Non_hope_speech
873,@Vinnie McBride no. Just ones like Churchill and Cromwell are ones I'm really after because it's a wonder one of them has a statue at all and the other has had his history covered up for an awful long time now.,Non_hope_speech,Non_hope_speech
874,Or go join it in the museum with ur antique thoughts lol,Non_hope_speech,Non_hope_speech
875,@Ashley Laurencya The only truth here is that conversion therapy does not work in ANY country (I'm not American either). Sorry to disappoint you. Sexual identity and preferences are rooted deep into our genetics,Hope_speech,Hope_speech
876,PPL WHO THINK THEY HAVE THE RIGHT TO DO THIS,Non_hope_speech,Non_hope_speech
877,all lives dont matter until black lives matter-sure i get your point but NO ONE should get attacked for being racist when saying all lives matter. people gotta use logic,Non_hope_speech,Non_hope_speech
878,Thank You Madonna … thank you so much.,Non_hope_speech,Non_hope_speech
879,It's controversial to say all lives matter because it goes against the Democratic party's plantation management scheme for black people.,Non_hope_speech,Non_hope_speech
880,Congrats sweetheart!!!nI had no idea until I was twelve,Non_hope_speech,Non_hope_speech
881,Great video n  Crystal is exceptionally smart and enlightened. n All the kids are sweet. nNice job!,Non_hope_speech,Non_hope_speech
882,I wish i lived in the ooga booga times where what mattered as not your color but survival skill ?,Non_hope_speech,Non_hope_speech
883,That’s why he sends people to hell,Non_hope_speech,Non_hope_speech
884,Uwiehdhdbfjdisnd Hehehehsbsbbebebebe definitely not incorrect. But I wouldn’t expect more from a person who watches Fox News.,Non_hope_speech,Non_hope_speech
886,@Amazing Worenwu I'm glad someone agrees,Non_hope_speech,Non_hope_speech
887,Vlad Burlacu Really! So does black lives matter?,Non_hope_speech,Non_hope_speech
888,it should be because we're allowed to have on religion but not act on it if what were doing is illegal i. this case harming someone's physically,Hope_speech,Hope_speech
889,link for the picture? no? ok cool,Non_hope_speech,Non_hope_speech
890,of course al lives matter. the point of the phrase is that black lives are being treated as expendables by the police and the government that employs them. black lives need our focus right now because the situation has gotten out of control.,Non_hope_speech,Non_hope_speech
891,Jessica Walker that passage was mistranslated...,Non_hope_speech,Non_hope_speech
892,@Steve 30x it is still 2020. I agree nobody should be a legal property of another mane. Slaves were a form of cash at time. Today there is more slavery than ever in a different shape and form. one of them is the low cost market. we think it was design around the poor man in reality is exploiting us. I don't see these statues as a celebration or invitation to slavery. Queens of England knighted pirates back in centuries. Was is it right? Nooo. But it is the past. it is something we are to learn from. symbols are symbols,Non_hope_speech,Non_hope_speech
893,Most women are taking engineer courses because they are so insecure they need mommy and daddy to pick their destiny for them.,Non_hope_speech,Non_hope_speech
894,@Dave Ross nno he was saying that people get mad about conversion therapy (which I do think Is messed up) while no one cares that millions of innocent children are murdered everyday,Non_hope_speech,Non_hope_speech
895,@Theodore Haskins dude,Non_hope_speech,Non_hope_speech
896,This is disguising,Non_hope_speech,Non_hope_speech
897,@Elie 192 And there was no times of Noah FYI.. the Biblical flood myth is a direct plagiarization of the earlier Sumerian flood story.  As for homosexuality being a demon,Non_hope_speech,Non_hope_speech
899,@Fish Keeper Because you are LITERALLY dismissing a group of people who need help right now. Plus,Non_hope_speech,Non_hope_speech
900,be real for just a second,Non_hope_speech,Non_hope_speech
901,As  a Pacific Islander that actually lives in the Islands (Samoan). I see ABSOLUTELY NOTHING WRONG with Maui and his depiction here. These whiny PC Polynesian SJWs need to shut it,Non_hope_speech,Non_hope_speech
902,mi name - were PRE Flood people,Non_hope_speech,Non_hope_speech
903,JP nI would go back to when humans first started,Non_hope_speech,Non_hope_speech
904,Please leave the uk,Non_hope_speech,Non_hope_speech
905,A great german singer wrote a Song about that  check it out on YouTube  Black lives Matter  Amadeus,Non_hope_speech,Non_hope_speech
906,Just because you don’t agree with other peoples views doesn’t mean those views are wrong,Non_hope_speech,Non_hope_speech
907,Its been a week?  Anybody?  Democratic Liberals out there will explain? Planned Parent Hood?,Non_hope_speech,Non_hope_speech
908,@i want yum I can't speak Dutch,Non_hope_speech,Non_hope_speech
909,I have always worked in male dominated industries (securities,Non_hope_speech,Non_hope_speech
911,BLM IS A RACIST GROUP.nYou dont stop racism by creating more racists.,Non_hope_speech,Non_hope_speech
912,@Ma Ka stop spreading conspiracy theories.,Non_hope_speech,Non_hope_speech
913,im ngl i cried at this,Non_hope_speech,Non_hope_speech
914,Y’all need to listen to this,Non_hope_speech,Non_hope_speech
916,We keep dividing ourselves by race,Non_hope_speech,Non_hope_speech
917,I agree. We Asians were also slaves back then.. But we're not bitching about it. We move on and make our lives better,Non_hope_speech,Non_hope_speech
918,I love David  Clark we need more cop's like him,Non_hope_speech,Non_hope_speech
919,@c a t l i n t good luck to you if you ever come out I came out to my Catholic parents and they are being really loving there's even a LGBTQ+ support club at my church to help closeted Catholics,Hope_speech,Hope_speech
920,I don't agree with homosexuality.nnI can't even tell what gender you are!,Non_hope_speech,Non_hope_speech
921,And they came up with the same BLM b.s 4 years later. Black America is getting played and they don't know it.,Non_hope_speech,Non_hope_speech
922,Actually all lives matter,Hope_speech,Hope_speech
923,...wait shes not a lesbian???,Non_hope_speech,Non_hope_speech
924,P.S. that’s not to say I agree with the original comment by the way. It sounds wrong for some reason I’m unable to pin-point.,Non_hope_speech,Non_hope_speech
925,BLM protest are becoming a problem in some parts of the world. In Japan,Non_hope_speech,Non_hope_speech
926,A d now he wany to personally tbank him,Non_hope_speech,Non_hope_speech
927,For all the people saying that  all lives matter we're not saying that your lives don't matter we're just saying black lives matter because apparently some of the policemen don't get that and are killing innocent black people for example you go into a bladder cancer convention and just scream out all cancer matters but they say that we know that all cancer matters of stuff that were raising awareness to this particular cancer but then you just keep on yelling all cancer matters that's how stupid you sound,Non_hope_speech,Non_hope_speech
928,@CRYxBABY absolutely!!! We need to stop making it about race.,Non_hope_speech,Non_hope_speech
929,He isn't educated. Hopefully he will soon learn.,Non_hope_speech,Non_hope_speech
930,@Big Radford them what??,Non_hope_speech,Non_hope_speech
931,kick that homophobic girl out of hiho lmao,Non_hope_speech,Non_hope_speech
932,Tedashii007 yes it does my friend,Non_hope_speech,Non_hope_speech
933,Just because she said she isn’t okay with Homosexuality,Non_hope_speech,Non_hope_speech
934,@junguwu • the guy jumping on it was crying lmao,Non_hope_speech,Non_hope_speech
935,Ashxr Exactly!!! It’s judging and oppressing someone for something that they don’t have control of,Non_hope_speech,Non_hope_speech
936,Exactly a lot of idiots fail to see it and try to make their race look like the victim. Every single race has faced racism,Non_hope_speech,Non_hope_speech
937,Stunning interview. She was so calm,Non_hope_speech,Non_hope_speech
938,According to an article I read on Huffington Post,Non_hope_speech,Non_hope_speech
940,@Alexander Laurie Birchley i agree so therefore saddam Hussain statue should not be taken down  in iraq and a statue of Hitler should be in Germany,Non_hope_speech,Non_hope_speech
941,She looks gorgeous  Really.  My life has turned 180degrees from what i was in the 80s .But even now as a believer in Christ i really have a special place for her in my heart.,Non_hope_speech,Non_hope_speech
943,No where in the bible does it talk about homosexuality being a sin. No where.,Non_hope_speech,Non_hope_speech
944,It's 2020 and the Dems are ramping it up again. It's an election cycle after all!,Non_hope_speech,Non_hope_speech
945,@Healthcare Matters And don't come at me with your Liberal vs Conservative bullshit either. I don't mess with either!!!,Non_hope_speech,Non_hope_speech
946,ALL LIVES MATTER ..IF YOU THINK OTHER WISE THEN YOU ARE RACIST..,Hope_speech,Hope_speech
947,@Prince Jafajafa  and a lot of blacks are racist too my friend,Non_hope_speech,Non_hope_speech
948,drogas wave lovely,Non_hope_speech,Non_hope_speech
949,A lot of people rather choose to stay asleep and be ignorant,Non_hope_speech,Non_hope_speech
950,@Lil Laughie Sapphie exactly same here omg!,Non_hope_speech,Non_hope_speech
951,EXACTLY!!!!! Stupid millennials would kill black people to protest the death of a black person!!!,Non_hope_speech,Non_hope_speech
952,that would just be pure mean' and 'they're trying to make you like girls again for.... some reason' were beautiful xD,Non_hope_speech,Non_hope_speech
954,@Timothy KimmelnI think you're confused. Trump is actually Hitler's son and he's going to round up all of the gays and muslims and non-whites and flay them alive while submerging them into lava pits. I heard that on MSNBC. Can't find the link but Trump definitely said it. I have to admit,Non_hope_speech,Non_hope_speech
955,I have biracial grandchildren,Non_hope_speech,Non_hope_speech
956,BLM = The complete opposite to Martin Luther Kings Dream.,Non_hope_speech,Non_hope_speech
957,The 1k who disliked this are paid off by Soros and the rich white men that all the BLM donations go towards. Go to BLM webpage and go to donations . It takes you to ActBlue and shows the amount given to rich white men. 186 MILLION TO BIDEN,Non_hope_speech,Non_hope_speech
959,@Lilyx Ah poor little woke victim!,Non_hope_speech,Non_hope_speech
962,FLoyd's death being used for a political agenda and nothing more,Non_hope_speech,Non_hope_speech
963,Homophobia is projected self hate. That said,Non_hope_speech,Non_hope_speech
964,ρσƚαƚσ ϙυҽҽɳ  thank you,Non_hope_speech,Non_hope_speech
965,@frank martin She isn't 61 yet,Non_hope_speech,Non_hope_speech
966,HMQ they definitely were not ALL wearing masks lol,Non_hope_speech,Non_hope_speech
967,@Aria Maas Sorry I've written two comments in answer to the yours above,Non_hope_speech,Non_hope_speech
968,@Glam Nails there are black people with power too.,Non_hope_speech,Non_hope_speech
969,@Darryl ...because it is causing division. The narrative is tearing people apart rather than bringing us together.,Non_hope_speech,Non_hope_speech
970,It is controversial because it takes away the their superiority.,Non_hope_speech,Non_hope_speech
972,THIS IS ME,Non_hope_speech,Non_hope_speech
973,That would just make you uhh pure mean 🥺,Non_hope_speech,Non_hope_speech
974,@TaiwanPingLord --the people who do what I am talking about are smart enough to not do it in recognizable groups that can be avoided,Non_hope_speech,Non_hope_speech
975,Tenacious Tacos nwhat we disagree about is the degree to which they occur and their gravity. you say that they are aggrandized unnecessarily while I say that they are diminished to a rather miniscule amount by most,Non_hope_speech,Non_hope_speech
976,Y'allnBack to reddit please.,Non_hope_speech,Non_hope_speech
977,why is it controversial say black lives matter,Non_hope_speech,Non_hope_speech
978,18 countries dog from korea,Non_hope_speech,Non_hope_speech
981,yes very nice sweety now let me pump you. u must be very bored if this is ur life mission lol. u got nothing better to do? if women looked like u i would hire you in an instant,Non_hope_speech,Non_hope_speech
982,Wortwihile to read; if you take the time and couragen,Non_hope_speech,Non_hope_speech
983,# Equality means all lives matter.n# Deep Deep down its not about color it's about the mind,Hope_speech,Hope_speech
984,how does the girl who doesn’t “agree” with homosexuality look the gayest of them all?,Non_hope_speech,Non_hope_speech
985,donate? girls have already sugar daddies for that,Non_hope_speech,Non_hope_speech
986,how about picking the right person for the job fuck fucks sake.  if you're good at what you do then fucking own it. if you act like you don't deserve to be there people will sense that and it will detract from every decision you make.nnpeople ask if you're the engineer because their exposure to the industry shows that its statistically unlikely that you are. people make small social assumptions every day its how we fuckign function as a society. if you see someone in a store wearing a black collared shirt and black pants you are inclined to think they work there. if people didn't make small social assumptions based on previous experience we'd all be wondering around getting nothing done too scared to say anything because we aren't sure of someones entire life story. FUCKING STOP OVER ANALYSING SHITnni bet all those guys who ask if you're the software engineer never ask you that question more than once. after that,Non_hope_speech,Non_hope_speech
987,Joshua Fernandes I know right!,Non_hope_speech,Non_hope_speech
988,The phrase black lives matter didn’t mean that other lives don’tnPeople are just trying to help black lives and say that they matter to,Non_hope_speech,Non_hope_speech
989,@Tupac Sobieski nYou include yourself with all these inventors and discoverers but you are polish and they've done nothing,Non_hope_speech,Non_hope_speech
990,White lives do not matter,Non_hope_speech,Non_hope_speech
993,@Jason Devon He acted in the manor of his day. But we dont need to ideolise that type of manor anymore. People dont like change,Non_hope_speech,Non_hope_speech
994,Say that you like doctor who and your friends don't want to he friends with you anymore because of that I love doctor who and I'm terribly sorry but just that had me laughing because I've actually been in that situation,Non_hope_speech,Non_hope_speech
995,my lives is matter,Non_hope_speech,Non_hope_speech
996,@DT Actually she doesn't matter there. She matters here,Non_hope_speech,Non_hope_speech
997,everybody commenting about the cuffed jeans girl,Non_hope_speech,Non_hope_speech
998,Please guys. Stop making assumptions about Annie,Non_hope_speech,Non_hope_speech
999,She is forever doing what keeps her in the public eye.,Non_hope_speech,Non_hope_speech
1000,@Vedji it isn't the way to go about it. Suddenly destroying stuff is okay because a small intimidating mob says so.,Non_hope_speech,Non_hope_speech
1001,Biggest movement since ol' King Jr.,Non_hope_speech,Non_hope_speech
1002,The waiting music had to much bass my sub woofer was on I had to move like 3 feet unacceptable.,Non_hope_speech,Non_hope_speech
1003,Nic_ Mar_ because she can’t be controlled,Non_hope_speech,Non_hope_speech
1004,U need to go out more,Non_hope_speech,Non_hope_speech
1006,Typical of the idiotic Democrats. The Republicans are just as bad.,Non_hope_speech,Non_hope_speech
1007,Liberals are starting another civil war because they know they can’t beat President Trump in November!! It’s war now or war after he wins but you have to be ignorant not to see what’s coming!! Stock up on food,Non_hope_speech,Non_hope_speech
1008,What is educational about immortalising and canonising such a figure as some kind of hero? There was not even a placard to tell people what he did. This actually did more to educate people about the slave trade then that statue ever did.,Non_hope_speech,Non_hope_speech
1009,What if ????nThe protesters found out that he raped a woman and her underaged daughters under 10 just before the police arrested him.nWould they then worship him as a great man.nTrust me he had a very violent CRIMINAL PAST that is on record..nBut lets play the game of.  media manipulation..nWake up neo and take the right pill.nnAgain what if ?,Non_hope_speech,Non_hope_speech
1010,hillary clinton dissertation thesis was  how to manage black people revolt  listen what the devil say now,Non_hope_speech,Non_hope_speech
1011,@Literal Scumbag - Yes because you must be apart of a group/thing to have an opinion on that group/thing. But perhaps that way of thinking would dismiss most of your opinions as well? Whether or not they're the correct opinion,Non_hope_speech,Non_hope_speech
1012,Jebedias was an impostor !!,Non_hope_speech,Non_hope_speech
1013,ofaboosting 129 u just goin with no proof goddamn,Non_hope_speech,Non_hope_speech
1014,Well I feel bad for those kids,Non_hope_speech,Non_hope_speech
1015,Of course all life matters,Hope_speech,Hope_speech
1016,in the middle east no one care if you are black or arab because we are all mixed,Non_hope_speech,Non_hope_speech
1017,Are there onions in here?,Non_hope_speech,Non_hope_speech
1018,@Dat Boi That's circular reasoning. In this silly hypothetical,Non_hope_speech,Non_hope_speech
1019,Never Give Up Hope - that's certainly NOT Madonna's message to the Palestinians who have been suffering from dislocation and oppression for over 70 years. nShe WON'T stand up for Justice,Non_hope_speech,Non_hope_speech
1020,@Melody Liu I know that homework is given a lot of weight because I went through teacher education. I can agree to a certain degree that homework isn't checked too well,Non_hope_speech,Non_hope_speech
1021,Black lives do matter but in my eyes it's like duh? Of course they matter just as much as every other life?so why are they protesting for how they matter rather than somthing collective like how the planet is littrally fucking dying,Non_hope_speech,Non_hope_speech
1022,Man I feel like I fit in now cause my mech class has 6 girls in total and this amuses me I can't wait to get into stanford,Hope_speech,Hope_speech
1023,Knock down Hadrian's Wall.nThem Romans did a bit of slave trading.,Non_hope_speech,Non_hope_speech
1024,Lol as much as i love her,Non_hope_speech,Non_hope_speech
1025,And he also chose hell instead of heaven,Non_hope_speech,Non_hope_speech
1026,Tammy Sauceda EXACTLY!,Non_hope_speech,Non_hope_speech
1027,@Honey Tree hiho's crew,Non_hope_speech,Non_hope_speech
1028,Yep 2020 is 2012 grown up.,Non_hope_speech,Non_hope_speech
1029,@depressed_boi aww i hate to hear,Non_hope_speech,Non_hope_speech
1030,I’m Presbyterian and we are completely open to any person no matter what.,Non_hope_speech,Non_hope_speech
1031,Nicholas Glasgow a what? What's a dragman?,Non_hope_speech,Non_hope_speech
1032,* Laughs in Swedish *,Non_hope_speech,Non_hope_speech
1033,That would be like uh.. really mean' Iconic.,Non_hope_speech,Non_hope_speech
1034,ALL lives matter. We should not be divided by race or social distancing. Together we are united & please dont let this divide us. If the kids are united they might have a future. Let's stick together & ignore skin colour. I'm a pale ginger & I'm proud of just being me,Hope_speech,Hope_speech
1035,If you say 'Palestinian lives matter' you will be booed by right wingers.,Non_hope_speech,Non_hope_speech
1036,this inspires me so much! thank you.,Hope_speech,Hope_speech
1037,Women just take over everything we want nothing to do with you. I can literally see a woman dying in the streets and I will just walk away.,Non_hope_speech,Non_hope_speech
1038,@B181 123 it is to those who tore it down,Non_hope_speech,Non_hope_speech
1039,But it's the reality. Reality isn't always like pink fluffy unicorns. Reality can be very brutal and these kids are going to live in a partly brutal reality,Non_hope_speech,Non_hope_speech
1040,Disgusting and shameful to brainwash these kids into thinking homosexuality is normal! Boycott this channel for sure! Let the hate and intolerance comments begin!,Non_hope_speech,Non_hope_speech
1041,@Stan Marsh link needed,Non_hope_speech,Non_hope_speech
1042,i can say what i want to say and if anybody doesnt like it thats to bad,Non_hope_speech,Non_hope_speech
1043,Same. As a closeted Pansexual,Non_hope_speech,Non_hope_speech
1044,@Sisu Guillam no religion at all its called the only reliable book and thats the bible just do a little reading about sodom and gomorah,Non_hope_speech,Non_hope_speech
1045,SINNER WHO NEEDS TO REPENT.,Non_hope_speech,Non_hope_speech
1046,Crikey the Home Secretary appears!!!!!,Non_hope_speech,Non_hope_speech
1047,white people get shot more because there are more white people. If there were 10 whites and 10 blacks,Non_hope_speech,Non_hope_speech
1048,Thank you so much,Non_hope_speech,Non_hope_speech
1049,My trigger has gone into recession. Thanks man,Non_hope_speech,Non_hope_speech
1050,FitTallGayBlond No it’s called good health,Non_hope_speech,Non_hope_speech
1051,BLM is racist organization.,Non_hope_speech,Non_hope_speech
1052,Nancy pelosi she wants trump in prison,Non_hope_speech,Non_hope_speech
1053,BLM is hiding behind race when their real agenda is Marxism,Non_hope_speech,Non_hope_speech
1054,luv it !!!!!! waying in frum california USA........luvit Brits thanks!!!,Non_hope_speech,Non_hope_speech
1055,Turn off fox,Non_hope_speech,Non_hope_speech
1056,This dude a beta boy or what,Non_hope_speech,Non_hope_speech
1057,@Maggie Paul Why should White people care about BLM,Non_hope_speech,Non_hope_speech
1058,Man-Donna. Surely that's a man in disguise if I have ever seen one.,Non_hope_speech,Non_hope_speech
1059,god gave us a choice,Non_hope_speech,Non_hope_speech
1060,i'm sorry but when did it become okay to conclude someone's sexuality based on how they look?,Non_hope_speech,Non_hope_speech
1061,Yaunri Not a damned thing.,Non_hope_speech,Non_hope_speech
